,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_01_min_cluster_size_0_2,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28
92,0,1,0,0,1,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,2,1,4,0,7,1,2,0,0,1,1,1,1,1,2,0,0,2,1,1,1,1,1,1,1,2,0,0,1,2,0,0,2,0,2
93,0,1,0,0,1,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,2,1,4,0,5,1,2,0,2,1,2,0,0,0,0,0,2,2,2,1,1,1,0,0,1,1,1,1,0,2,2,0,0,1,0
94,0,1,0,0,1,5,1,4,11,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,2,1,4,0,5,1,-1,2,0,0,0,2,1,0,0,2,1,2,1,1,1,1,0,1,2,2,2,1,0,2,2,2,1,1,2
95,0,0,1,3,4,3,5,0,18,1,0,0,0,0,0,0,0,0,1,1,1,3,4,4,2,0,1,0,1,2,2,6,1,2,1,0,2,2,0,2,2,1,2,2,0,2,1,1,0,0,1,0,0,1,0,2,1,1,2,0,1,0,0
96,0,1,0,0,1,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,2,1,4,0,5,1,2,1,1,2,0,1,0,0,2,0,2,1,0,2,1,1,2,0,0,1,2,0,0,1,1,1,1,2,1
97,0,1,0,0,3,1,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,1,0,0,4,0,1,-1,2,2,1,2,2,0,1,2,0,1,2,1,0,0,2,2,1,0,1,2,2,2,2,1,0,0,2,1
98,0,1,0,0,3,1,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,0,2,1,0,0,4,0,1,2,2,0,2,1,1,1,1,2,0,1,2,1,0,1,1,0,1,0,0,2,1,2,1,2,2,0,2,0
99,0,0,1,1,0,0,0,2,-1,-1,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,3,1,1,3,0,-1,0,1,1,1,1,1,1,1,2,1,0,0,0,2,1,0,1,1,2,1,1,1,1,2,0,1,2,1
100,0,1,0,0,1,5,1,4,-1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,2,1,4,0,5,1,-1,2,2,0,0,1,1,2,2,0,2,1,2,2,2,0,2,2,1,1,2,0,0,0,0,0,0,0,2
101,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,3,1,1,3,0,0,0,0,2,0,1,1,0,1,0,1,0,1,2,1,1,0,0,2,0,2,0,2,1,2,2,2,0,0
102,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,2,5,2,4,0,0,1,2,1,1,2,0,1,0,1,2,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,2,0,0
103,0,0,1,1,0,0,0,2,16,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,2,5,2,4,0,-1,0,2,2,2,0,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0
104,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,3,1,2,4,0,0,2,0,2,1,0,1,1,2,2,2,1,0,2,0,0,1,0,1,0,0,0,2,2,0,1,0,2,2
105,0,1,0,0,1,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,2,1,4,0,5,1,2,2,0,0,1,0,2,2,1,0,2,0,2,0,1,0,0,1,2,1,0,2,1,0,1,1,0,1,0
106,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,3,1,1,3,0,0,0,2,1,2,1,1,0,0,2,2,0,1,0,1,1,2,2,0,2,0,2,0,2,1,2,0,1,2
107,0,0,2,3,4,4,3,6,-1,1,0,0,0,0,0,0,0,0,1,2,1,3,5,3,6,0,0,0,1,2,2,6,1,2,1,0,2,0,1,1,0,0,0,0,1,0,1,2,2,1,0,0,1,0,2,1,0,1,1,0,0,2,2
108,0,0,2,2,2,3,2,5,1,1,0,0,0,0,0,0,0,0,1,2,3,3,4,0,2,0,1,0,0,4,3,3,2,2,1,2,1,1,1,2,1,1,0,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2,0,1,0,2,0
109,0,1,0,3,4,4,3,6,-1,8,0,0,0,0,0,0,0,0,0,2,1,4,5,3,3,0,0,2,1,2,2,6,1,1,1,1,1,2,2,1,2,0,0,2,2,0,1,1,1,2,2,0,1,2,1,2,0,1,2,2,2,2,0
110,0,0,2,2,2,3,2,7,9,1,0,0,0,0,0,0,0,0,1,2,3,3,4,0,2,0,1,0,0,4,3,3,2,2,1,1,0,1,1,0,0,0,1,2,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,2
111,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,2,5,5,6,0,-1,2,0,2,0,2,2,2,0,0,1,1,2,1,1,1,2,0,0,0,0,1,1,1,1,0,2,1,2
112,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,3,1,2,4,0,0,2,2,2,2,0,1,2,2,0,2,2,1,1,2,2,2,1,2,1,0,0,1,2,1,1,1,0,1
113,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,2,5,5,6,0,0,1,0,0,1,0,1,2,0,1,1,2,2,1,2,0,1,0,2,0,2,2,0,1,1,2,2,1,0
114,0,0,2,3,4,3,2,7,19,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,1,0,0,4,2,6,1,2,1,2,0,2,0,2,0,1,2,1,1,0,2,2,1,1,1,2,2,1,1,0,0,2,2,2,1,1,0
115,0,1,0,0,3,1,6,1,15,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,0,2,1,0,0,4,0,1,-1,1,1,2,2,2,1,1,0,2,0,2,1,1,1,2,0,2,1,2,2,1,2,2,2,0,1,2,1
116,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,3,1,1,3,0,-1,1,0,1,1,2,2,2,2,2,1,2,2,1,0,2,2,2,2,0,0,0,0,0,0,0,1,2,1
117,0,1,0,0,1,5,1,6,-1,-1,-1,1,0,0,0,0,0,0,0,0,2,0,3,3,1,0,0,2,2,1,4,0,7,1,-1,0,2,2,0,2,1,1,0,0,0,1,0,1,0,1,2,2,0,1,1,0,0,1,0,0,2,1,0
118,0,1,0,0,1,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,2,1,4,0,7,1,2,2,2,1,0,2,0,0,1,2,2,0,1,1,2,2,2,0,0,2,2,0,0,1,2,0,2,0,1
119,0,1,0,0,1,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,2,1,4,0,7,1,2,1,2,0,0,2,0,0,2,1,0,2,1,0,0,0,2,1,0,0,1,2,1,0,0,1,1,0,0
120,0,1,0,0,1,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,2,1,4,0,5,1,2,1,0,2,2,1,0,1,1,1,0,0,1,2,1,2,1,2,2,2,2,1,1,0,2,1,2,0,1
121,0,0,2,2,2,2,4,3,20,9,0,0,0,0,0,0,0,0,1,2,3,2,2,1,5,0,1,0,0,4,3,3,2,2,-1,0,2,1,1,0,2,0,0,1,2,2,2,2,2,1,0,2,1,0,1,0,0,0,0,0,2,1,0
122,0,0,2,2,2,3,2,7,-1,-1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,1,0,0,4,3,3,2,2,1,1,1,2,1,1,2,0,2,0,0,1,0,2,2,2,1,0,2,1,2,1,0,0,2,0,0,1,2
123,0,0,2,2,2,3,4,5,21,1,0,0,0,0,0,0,0,0,1,2,3,2,4,4,2,0,1,0,0,4,3,3,2,2,1,2,0,0,0,1,2,2,2,1,0,2,2,1,1,0,2,2,1,2,2,2,2,0,0,2,1,0,0
124,0,1,0,0,3,1,6,1,15,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,0,2,1,0,0,4,0,1,-1,1,0,2,1,0,0,2,0,2,0,2,2,0,0,1,0,2,1,2,2,2,1,0,2,1,2,0,2
125,0,1,0,0,1,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,2,1,4,0,5,1,2,1,0,0,2,2,1,0,2,2,1,2,1,0,1,0,1,0,2,0,0,1,2,1,1,2,1,0,1
126,0,0,2,3,4,3,2,7,22,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,1,0,0,4,3,3,2,2,1,2,2,2,1,0,2,1,2,0,1,0,1,0,0,0,0,2,0,0,2,0,2,2,0,2,2,2,2
127,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,3,1,1,3,0,0,2,2,0,0,0,1,1,1,2,0,2,2,2,1,2,0,0,0,0,1,2,0,1,0,2,1,0,1
128,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,3,1,5,6,0,0,1,1,0,0,0,2,2,2,1,1,0,0,1,1,1,2,0,0,2,0,0,1,2,0,2,2,1,0
129,0,0,2,2,2,2,4,7,-1,-1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,0,0,4,3,3,2,2,-1,2,2,2,2,1,0,2,1,0,2,2,0,2,1,1,2,1,1,2,1,2,0,2,2,2,1,2,1
130,0,1,0,0,1,5,1,4,-1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,2,1,4,0,7,1,-1,2,1,2,0,1,1,1,1,2,2,0,2,2,1,0,0,0,1,0,1,1,2,2,0,0,1,2,1
131,0,0,2,3,4,3,5,5,23,1,0,0,0,0,0,0,0,0,1,1,0,3,4,4,2,0,1,0,0,2,2,6,1,2,1,2,0,0,0,1,2,0,1,0,0,0,1,0,2,1,1,2,1,1,2,1,0,2,2,2,1,1,0
132,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,3,1,1,3,0,0,0,0,2,1,2,0,2,1,2,2,0,2,2,1,1,2,2,1,2,2,2,2,1,1,0,0,2,0
133,0,1,0,0,1,1,6,1,-1,-1,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,0,2,1,0,0,4,7,1,-1,2,2,2,0,0,1,1,1,2,0,2,0,2,1,1,2,0,2,1,1,0,2,0,1,2,2,0,2
134,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,2,5,2,4,0,0,2,2,2,1,2,2,1,1,1,0,2,0,0,1,0,0,0,0,2,2,2,1,1,1,2,1,2,2
135,0,1,0,0,1,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,2,1,4,0,5,1,2,2,2,1,2,0,0,1,1,2,2,0,0,0,0,1,0,2,0,2,0,1,0,1,1,0,2,0,2
136,0,1,0,0,1,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,2,1,4,0,5,1,2,1,0,2,1,1,2,2,1,0,1,2,0,1,2,2,1,0,0,0,0,0,1,2,1,0,2,2,1
137,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,3,1,2,4,0,0,1,1,0,1,0,1,0,0,0,1,2,0,1,0,0,2,0,0,2,2,2,0,1,1,2,0,1,2
138,0,1,0,0,3,1,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,3,0,0,2,1,0,0,4,0,1,-1,0,0,1,1,2,2,0,2,0,2,2,1,0,2,0,0,1,2,0,1,1,2,1,1,2,1,0,2
139,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,2,5,2,4,0,0,1,2,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,2,0,0,2,1,2,2
140,0,0,2,2,2,2,4,3,13,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6,0,1,0,0,4,3,3,2,2,1,0,2,0,0,2,2,1,1,2,0,2,0,1,0,1,1,2,0,1,1,1,0,2,2,0,1,2,0
141,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,2,5,2,4,0,0,0,1,1,0,0,2,2,1,0,1,2,2,2,0,2,2,0,1,1,2,1,0,0,1,2,1,1,2
142,0,1,0,0,3,1,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,0,2,1,0,0,4,0,1,2,2,2,2,0,0,1,1,2,2,0,2,0,0,2,1,1,1,0,2,1,1,2,1,1,0,2,2,1
143,0,0,2,2,2,3,4,5,21,1,0,0,0,0,0,0,0,0,1,2,3,2,4,4,2,0,1,0,0,4,3,3,2,2,1,0,0,1,2,0,2,1,2,1,2,2,2,1,2,0,0,2,1,0,2,1,2,2,1,0,2,2,0
144,0,0,2,3,4,3,2,0,3,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,6,0,0,0,1,2,2,6,1,2,1,0,2,1,0,2,0,0,1,2,2,0,1,2,0,1,0,1,1,2,2,1,1,0,0,1,0,0,1
145,0,0,1,3,4,4,5,0,-1,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,0,1,2,2,6,1,2,1,2,2,1,1,2,2,2,1,1,0,0,2,1,0,1,2,0,0,1,1,0,2,2,2,2,0,0,1
146,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,3,1,2,4,0,0,0,1,2,2,0,1,2,0,0,1,0,0,2,0,2,0,0,1,1,2,0,0,2,0,2,2,1,0
147,0,1,0,0,1,5,1,4,-1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,2,1,4,0,5,1,-1,0,1,1,1,0,2,0,1,2,0,1,2,1,1,1,2,0,2,2,0,0,1,1,0,0,1,0,1
148,0,1,0,0,3,1,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,1,0,0,4,0,1,-1,0,1,2,0,2,2,1,1,2,1,2,1,2,2,0,0,0,1,0,0,2,0,2,2,2,1,0,1
149,0,0,2,2,2,2,4,3,-1,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6,0,1,0,0,4,3,3,2,2,-1,2,2,2,2,2,1,2,1,1,2,0,1,0,1,0,2,1,1,0,0,0,2,1,0,1,0,0,0
150,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,3,1,2,4,0,0,2,2,2,1,0,2,0,0,2,1,1,1,0,0,2,1,2,2,1,0,1,1,0,1,0,2,1,2
151,0,0,2,3,4,3,5,0,5,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,0,1,2,2,6,1,2,1,2,2,2,0,0,2,2,1,2,2,0,0,1,2,2,1,1,1,2,1,1,0,1,0,2,2,2,1
152,0,1,0,0,3,1,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,0,2,1,0,0,4,0,1,2,1,2,1,1,0,2,2,1,0,2,2,1,0,2,0,2,1,2,0,1,2,1,0,0,1,2,1,1
153,0,1,0,0,1,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,2,1,4,0,5,1,2,2,2,2,2,2,2,1,1,1,0,1,1,1,2,1,1,1,0,1,1,2,0,2,0,1,0,1,2
154,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,2,5,2,4,0,0,2,2,1,1,1,1,0,0,0,1,2,0,2,0,2,1,1,1,0,0,2,0,0,0,1,2,2,1
155,0,1,0,0,3,1,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,0,2,1,0,0,4,0,1,-1,2,1,0,2,0,2,2,1,2,1,2,0,1,0,1,1,1,0,2,0,0,1,1,0,0,2,2,1
156,0,1,0,0,1,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,2,1,4,0,5,1,2,0,2,1,2,0,1,0,2,1,1,2,1,0,0,2,2,0,2,2,2,0,1,1,1,0,0,2,1
157,0,1,0,0,1,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,2,1,4,0,5,1,2,0,1,0,1,2,1,1,2,1,1,0,2,2,1,2,1,1,0,2,0,0,0,0,2,0,2,1,2
158,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,2,5,2,4,0,-1,1,2,2,0,2,0,0,1,2,0,2,0,2,1,2,1,0,2,1,2,2,2,2,2,1,0,1,1
159,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,2,5,2,4,0,0,0,0,0,0,2,2,0,1,2,0,1,2,0,2,2,2,0,1,0,1,2,2,0,0,0,2,2,2
160,0,0,2,2,2,2,4,5,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,1,1,2,0,1,0,0,4,3,3,2,2,1,0,1,0,0,1,1,1,0,0,2,2,0,1,2,1,1,2,1,2,0,1,0,1,0,2,0,2,1
161,0,1,0,0,1,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,2,1,4,0,7,1,2,2,1,1,1,0,0,0,1,2,2,2,0,1,1,1,1,2,2,2,1,1,0,2,2,0,1,1,1
162,0,0,2,3,4,3,2,0,24,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,6,0,0,0,0,4,2,6,1,2,1,1,2,1,1,1,0,2,0,1,2,1,1,0,2,2,0,0,0,1,1,0,2,0,1,1,2,2,2
163,0,1,0,0,3,1,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,0,2,1,0,0,4,0,1,2,2,1,1,0,1,0,1,0,2,1,0,2,1,1,0,0,0,2,2,1,1,2,1,0,1,1,2,2
164,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,2,5,5,6,0,0,2,0,2,2,1,1,2,0,0,0,2,2,0,2,0,1,0,1,2,1,2,0,2,2,1,2,0,2
165,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,2,5,2,4,0,0,1,1,0,1,2,2,0,2,0,0,2,1,2,1,1,1,2,2,1,2,2,1,1,2,2,1,0,2
166,0,1,0,0,1,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,2,1,4,0,5,1,2,1,2,1,0,0,2,1,1,0,2,1,1,0,0,1,1,0,0,0,1,2,1,1,0,0,1,0,2
167,0,0,1,3,4,4,3,6,-1,4,0,0,0,0,0,0,0,0,1,2,1,3,5,3,6,0,0,0,1,2,2,6,1,2,1,2,0,1,2,1,2,2,1,1,1,1,0,0,1,2,1,1,2,0,2,0,0,0,1,2,0,0,1
168,0,0,1,1,0,0,0,2,-1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,1,1,3,2,5,2,4,0,-1,1,2,1,1,0,1,1,1,1,1,2,1,2,0,1,2,1,0,2,0,1,0,1,1,2,0,1,2
169,0,1,0,0,3,1,6,1,15,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,0,2,1,0,0,4,0,1,-1,2,0,0,2,0,2,0,0,2,2,0,1,0,0,0,0,2,0,1,1,0,0,1,0,1,1,1,1
170,0,1,0,3,3,1,6,1,25,10,0,0,0,0,0,0,0,0,0,0,1,4,5,5,3,0,0,2,1,0,0,4,0,1,-1,1,1,1,2,1,0,0,2,2,0,1,2,2,0,0,2,2,1,0,0,1,1,2,2,2,2,2,1
171,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,3,1,1,3,0,0,0,0,1,1,1,1,0,0,2,0,0,1,2,1,2,1,0,1,0,2,1,1,0,2,0,2,0,1
172,0,0,2,2,2,2,4,5,-1,11,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,0,0,4,3,3,2,2,1,0,1,1,2,1,2,0,2,0,1,2,1,2,2,1,2,2,2,1,1,2,0,2,2,1,2,0,0
173,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,3,1,2,4,0,0,1,2,2,1,0,1,1,1,2,1,0,0,1,0,0,2,0,0,1,1,0,2,2,1,2,1,1,1
174,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,2,5,2,4,0,0,1,1,2,2,0,0,0,2,0,2,1,1,0,0,2,0,2,0,2,1,2,1,2,1,1,0,2,2
175,0,1,0,0,1,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,2,1,4,0,5,1,2,1,2,0,0,0,2,0,0,2,1,0,1,0,1,1,1,0,1,1,1,1,2,2,0,2,1,0,2
176,0,1,0,0,1,5,1,4,-1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,2,1,4,0,7,1,-1,1,0,2,2,2,2,0,1,0,2,0,0,1,2,1,1,0,1,1,0,1,0,2,2,0,1,0,1
177,0,1,0,0,3,1,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,0,2,1,0,0,4,0,1,2,2,0,1,0,0,0,1,1,0,1,1,1,0,2,2,0,2,2,1,2,1,1,1,2,2,0,2,0
178,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,3,1,1,3,0,0,1,1,2,2,0,1,1,2,2,1,0,0,0,1,2,2,2,2,2,0,1,0,0,1,2,2,0,0
179,0,0,2,2,2,3,2,5,1,1,0,0,0,0,0,0,0,0,1,2,3,3,4,0,2,0,1,0,0,4,3,3,2,2,1,1,0,0,1,1,0,2,1,0,1,2,2,1,2,1,1,1,0,2,1,2,0,2,1,2,2,1,1
180,0,1,0,0,3,1,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,0,2,1,0,0,4,7,1,2,0,1,2,1,1,0,1,0,2,2,2,2,0,0,2,0,2,1,1,1,1,2,2,0,0,1,2,1
181,0,1,0,0,3,1,6,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,1,0,0,4,0,1,-1,1,1,0,0,2,1,0,0,0,2,0,0,2,2,0,1,0,0,1,2,1,1,2,1,1,0,0,1
182,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,3,1,1,3,0,0,2,1,0,0,0,1,0,0,1,2,0,0,2,1,0,0,1,0,2,1,2,2,2,0,0,2,1,1
183,0,0,2,2,2,2,4,5,26,11,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,0,0,4,3,3,2,2,1,1,2,2,1,2,2,0,2,1,1,2,0,2,1,1,0,2,2,1,2,1,2,0,0,1,1,0,0
184,0,0,2,3,4,4,5,0,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,0,1,2,2,6,1,2,1,2,2,2,0,0,2,2,2,2,2,0,0,2,0,0,1,1,2,2,0,2,0,2,1,2,0,2,2
185,0,0,2,2,2,3,2,5,27,1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,1,0,0,4,3,3,2,2,1,0,1,0,2,1,0,2,2,2,2,0,2,2,1,0,2,2,1,0,1,0,2,2,0,1,2,1,2
186,0,0,1,1,0,0,0,2,-1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,1,1,3,2,5,2,4,0,-1,0,0,1,1,1,2,2,0,0,2,0,2,2,0,0,0,1,1,1,1,1,0,0,1,2,0,1,0
187,0,1,2,3,4,4,3,0,-1,5,0,0,0,0,0,0,0,0,0,2,1,4,5,3,6,0,0,2,1,0,2,6,1,2,-1,1,0,1,2,1,1,1,0,1,2,1,1,1,1,2,1,2,1,1,2,2,2,1,1,0,2,1,1
188,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,3,2,5,2,4,0,-1,1,1,2,0,1,2,0,0,2,2,2,0,0,2,1,0,0,0,2,0,1,2,2,2,0,2,2,0
189,0,1,0,0,3,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,1,0,0,4,0,1,-1,1,1,1,1,1,2,1,1,1,1,0,0,1,1,1,1,0,0,2,1,0,2,0,2,0,0,2,0
190,0,1,0,3,4,4,3,6,-1,8,0,0,0,0,0,0,0,0,0,0,1,4,5,3,3,0,0,2,1,0,2,6,1,1,-1,2,2,0,0,2,1,0,1,2,0,1,1,1,0,0,1,0,2,2,2,0,0,1,1,1,0,2,1
191,0,1,0,0,3,1,6,1,-1,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,0,2,1,0,0,4,7,1,-1,2,0,2,2,1,1,0,1,0,2,2,2,1,1,1,1,1,0,2,2,2,0,2,1,1,1,2,0
