,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_08_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37
80,0,1,2,2,3,5,4,3,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,0,0,0,1,1,0,5,6,7,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0
81,0,0,1,0,2,4,5,7,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,2,2,4,4,4,2,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0
82,0,0,1,0,1,4,5,7,-1,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,0,1,1,0,0,0,3,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
83,0,0,1,0,1,4,5,7,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,1,2,2,4,4,4,6,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0
84,0,1,0,2,0,0,0,5,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,1,1,1,5,6,7,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1
85,0,1,2,2,3,5,0,5,2,1,1,1,1,0,0,0,0,0,1,1,1,4,4,0,0,0,0,1,1,0,5,6,7,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1
86,0,0,1,3,4,2,6,4,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,0,1,1,1,3,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0
87,0,0,0,3,4,2,6,4,6,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,1,2,3,2,1,5,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1
88,0,1,0,2,0,0,0,5,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,0,1,1,1,5,6,7,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0
89,0,1,2,1,3,5,4,3,31,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,1,0,0,3,2,2,4,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1
90,0,0,1,0,1,4,5,7,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,1,2,2,4,4,4,6,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1
91,0,0,0,3,4,2,6,4,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,1,1,3,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0
92,0,0,0,3,4,2,3,0,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,1,1,3,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0
93,0,0,1,0,1,3,1,2,32,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,6,0,1,2,2,4,4,5,6,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1
94,0,0,1,3,1,3,1,2,33,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,4,0,1,2,3,4,1,5,6,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1
95,0,1,0,3,0,0,3,0,8,1,1,1,1,0,0,0,0,0,0,0,1,1,0,5,5,0,0,1,1,1,3,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
96,0,1,2,1,3,5,4,3,-1,-1,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,1,0,0,3,2,2,4,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1
97,0,0,1,0,1,3,1,2,-1,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,6,0,0,1,1,1,3,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1
98,0,1,2,2,3,5,4,3,30,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,1,0,0,3,2,2,4,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1
99,0,0,1,0,1,3,1,7,11,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,1,2,2,4,4,5,6,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
100,0,1,0,2,0,0,3,0,-1,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,1,0,3,2,1,3,5,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0
101,0,1,0,2,0,0,0,5,-1,1,1,1,1,0,0,0,0,0,1,0,1,4,1,0,0,0,0,1,1,1,5,6,7,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1
102,0,1,2,2,3,5,0,5,20,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,1,0,0,3,2,2,5,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1
103,0,0,1,0,1,4,5,1,5,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,0,1,1,0,0,0,3,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0
104,0,1,2,1,2,1,2,6,-1,0,0,0,0,0,0,0,0,0,1,1,2,0,3,6,2,0,1,2,2,3,4,4,2,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1
105,0,0,0,3,4,2,6,4,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,0,1,1,1,3,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0
106,0,1,0,2,0,0,3,0,34,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,1,0,3,2,1,3,5,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0
107,0,0,1,0,2,4,5,7,-1,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,2,2,4,4,4,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0
108,0,1,2,1,3,5,4,3,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,0,1,1,0,5,6,7,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1
109,0,0,0,3,4,2,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,1,0,3,2,1,3,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
110,0,1,2,1,2,1,2,1,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,1,1,0,0,0,3,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
111,0,1,2,1,2,1,2,6,35,0,0,0,0,0,0,0,0,0,1,1,2,0,3,6,2,0,1,2,2,3,4,4,2,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0
112,0,0,0,3,4,2,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,0,1,0,3,2,1,3,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0
113,0,1,2,1,2,1,2,6,25,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,2,0,1,2,2,3,4,4,2,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0
114,0,0,1,0,1,3,1,2,3,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,0,1,1,0,0,0,3,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1
115,0,0,1,0,1,3,1,2,-1,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,0,1,1,1,3,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1
116,0,0,0,3,4,2,3,0,-1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,1,1,3,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1
117,0,1,2,1,3,1,4,3,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,1,1,0,0,6,7,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1
118,0,0,1,0,1,3,1,7,36,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,1,2,2,4,4,5,6,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0
119,0,0,1,0,1,3,1,2,17,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,6,0,1,2,3,4,1,5,6,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0
120,0,0,1,0,1,3,1,2,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,0,1,1,1,3,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1
121,0,1,2,1,3,5,4,3,18,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,1,0,0,3,2,2,4,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
122,0,0,0,3,4,2,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,0,1,0,3,2,1,3,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0
123,0,1,0,2,0,0,3,0,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,5,0,0,1,1,1,5,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0
124,0,0,0,3,4,2,6,4,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,0,1,1,1,3,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0
125,0,0,1,0,2,4,5,7,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,2,2,4,4,4,2,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
126,0,1,2,2,3,5,4,3,30,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,1,0,0,3,2,2,4,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1
127,0,0,0,3,4,2,6,4,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,1,1,3,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0
128,0,0,0,3,4,2,3,0,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,1,1,3,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0
129,0,0,0,3,4,2,6,4,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,0,1,1,1,3,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1
130,0,0,1,0,2,4,5,1,5,1,1,1,1,0,0,0,0,0,0,2,3,0,4,4,3,0,0,1,1,0,0,0,3,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0
131,0,0,1,0,2,4,5,7,37,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,2,2,4,4,4,2,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0
132,0,1,2,1,3,5,4,3,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,0,1,1,0,5,6,7,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1
133,0,1,2,2,3,5,4,3,30,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,1,0,0,3,2,2,4,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0
134,0,1,2,1,3,5,4,3,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,0,1,1,0,5,6,7,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1
135,0,0,1,0,2,4,5,1,5,1,1,1,1,0,0,0,0,0,0,1,3,0,4,4,3,0,0,1,1,0,0,0,3,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0
136,0,0,1,0,1,3,1,2,3,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,0,1,1,0,0,0,3,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0
137,0,0,1,0,1,3,1,2,3,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,0,1,1,0,0,0,3,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0
138,0,0,1,0,1,3,1,2,3,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,0,1,1,0,0,0,3,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1
139,0,0,1,0,1,3,1,2,38,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,6,0,1,2,3,4,1,5,6,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1
140,0,0,1,0,1,3,1,2,-1,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,6,0,1,2,2,4,4,5,6,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0
141,0,1,2,1,3,5,4,3,31,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,1,0,0,3,2,2,4,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
142,0,1,2,2,3,5,0,5,-1,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,1,0,0,3,2,2,5,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0
143,0,1,2,1,2,1,2,6,15,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,2,2,3,4,4,2,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0
144,0,0,1,0,2,4,5,1,5,1,1,1,1,0,0,0,0,0,0,1,3,0,4,4,3,0,0,1,1,0,0,0,3,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1
145,0,1,2,1,2,1,2,6,35,0,0,0,0,0,0,0,0,0,1,1,2,0,3,6,2,0,1,2,2,3,4,4,2,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1
146,0,1,2,2,3,5,0,5,2,1,1,1,1,0,0,0,0,0,1,1,1,4,4,0,0,0,0,1,1,0,5,6,7,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1
147,0,1,0,2,0,0,0,5,-1,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,1,1,1,5,6,7,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1
148,0,0,1,1,2,4,5,6,7,0,0,0,0,0,0,0,0,0,0,1,3,0,3,3,2,0,1,2,2,4,4,4,2,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1
149,0,1,2,1,2,1,2,6,-1,0,0,0,0,0,0,0,0,0,1,1,2,0,3,6,2,0,1,2,2,3,4,4,2,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1
150,0,0,0,3,4,2,6,4,23,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,1,0,3,2,1,3,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0
151,0,0,0,3,4,2,3,0,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,1,1,3,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1
152,0,0,0,3,4,2,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,0,1,0,3,2,1,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0
153,0,0,1,1,2,4,2,1,1,1,1,1,1,0,0,0,0,0,1,1,3,0,4,4,3,0,0,1,1,0,0,0,3,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0
154,0,0,0,3,0,2,3,0,39,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,1,0,3,2,1,3,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1
155,0,1,2,1,2,1,2,6,15,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,2,2,3,4,4,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
156,0,1,2,2,3,5,4,3,30,0,0,0,0,0,0,0,0,0,1,1,1,4,1,0,0,0,1,0,0,3,2,2,4,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
157,0,1,2,1,2,1,2,6,15,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,2,2,3,4,4,2,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0
158,0,0,0,3,4,2,3,0,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,1,1,3,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
159,0,1,2,1,2,1,2,6,-1,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,1,2,2,3,4,4,2,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1
160,0,1,2,1,3,1,4,3,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,1,1,0,0,6,7,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0
161,0,0,1,0,1,4,5,7,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,1,2,2,4,4,4,6,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
162,0,1,2,2,3,5,4,3,30,0,0,0,0,0,0,0,0,0,1,1,1,4,1,0,0,0,1,0,0,3,2,2,4,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
163,0,0,0,3,4,2,6,4,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,1,1,3,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1
164,0,0,1,0,2,4,5,7,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,2,2,4,4,4,2,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0
165,0,1,0,2,0,0,0,5,27,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,1,0,0,3,2,2,5,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0
166,0,0,0,3,4,2,6,4,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,1,1,3,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1
167,0,1,2,1,3,5,4,3,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,0,1,1,0,5,6,7,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1
