,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_01_min_cluster_size_0_2,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13
122,0,0,2,0,2,2,2,0,-1,-1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,1,2,3,4,3,3,5,2,1,0,0,2,0,1,2,1,1,2,2,1,0,2
123,0,0,2,0,2,2,4,3,21,1,0,0,0,0,0,0,0,0,1,2,3,2,4,4,2,0,1,2,3,4,3,3,5,2,1,2,0,2,1,0,0,1,0,1,2,2,1,2
124,0,1,0,1,4,0,5,7,15,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,0,0,0,1,0,1,7,1,-1,1,2,1,0,1,2,2,1,0,2,2,1,0
125,0,1,0,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,4,1,2,0,1,2,2,1,0,2,1,1,1,0,1,2
126,0,0,2,3,2,2,2,0,22,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,1,2,3,4,3,3,5,2,1,0,2,0,1,2,0,1,0,0,2,0,1,2
127,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,2,4,5,3,0,0,1,0,1,2,1,1,0,2,2,2,1,2,1
128,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,2,4,6,6,0,0,2,2,2,1,2,2,0,1,1,2,1,1,0
129,0,0,2,0,2,5,4,5,-1,-1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,2,3,4,3,3,5,2,-1,0,1,0,1,0,1,0,0,1,1,2,2,2
130,0,1,0,1,0,3,0,2,-1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,0,1,-1,1,1,0,2,2,0,0,1,2,1,1,1,0
131,0,0,2,3,3,2,6,6,23,1,0,0,0,0,0,0,0,0,1,1,0,3,4,4,2,0,1,2,3,0,5,4,1,2,1,0,0,1,1,0,0,0,0,0,2,1,1,1
132,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,2,4,5,3,0,0,1,2,0,2,1,0,2,0,0,2,0,0,1
133,0,1,0,1,0,0,5,2,-1,-1,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,0,0,0,1,0,1,0,1,-1,1,1,1,0,1,1,2,2,1,2,1,1,2
134,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,0,2,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0
135,0,1,0,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,4,1,2,1,0,2,0,2,1,0,2,2,0,1,0,1
136,0,1,0,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,4,1,2,2,2,2,1,2,2,0,1,2,2,2,0,1
137,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,2,4,0,2,0,0,0,0,1,0,0,1,2,0,2,2,1,1,1
138,0,1,0,1,4,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,3,0,0,0,0,1,0,1,7,1,-1,2,0,0,1,2,0,1,0,1,0,0,0,1
139,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,0,2,0,0,1,0,0,0,0,1,0,2,2,0,2,2,2
140,0,0,2,0,2,5,4,3,13,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6,0,1,2,3,4,3,3,5,2,1,2,0,2,1,1,1,0,0,2,0,0,2,1
141,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,0,2,0,0,0,2,0,0,1,1,2,0,1,2,0,1,2
142,0,1,0,1,4,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,0,0,0,1,0,1,7,1,2,0,0,2,2,2,2,1,0,1,0,2,2,1
143,0,0,2,0,2,2,4,3,21,1,0,0,0,0,0,0,0,0,1,2,3,2,4,4,2,0,1,2,3,4,3,3,5,2,1,2,2,0,1,1,2,0,2,0,0,1,2,2
144,0,0,2,3,3,2,2,0,3,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,6,0,0,2,0,0,5,4,1,2,1,2,2,0,2,1,2,1,1,1,0,1,1,1
145,0,0,1,3,3,4,6,6,-1,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,2,0,0,5,4,1,2,1,2,1,0,2,1,0,2,0,0,1,2,2,2
146,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,2,4,0,2,0,0,0,2,2,1,0,0,1,1,1,0,0,0,1
147,0,1,0,1,0,3,0,2,-1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,4,1,-1,2,1,2,2,2,0,2,2,2,1,0,1,2
148,0,1,0,1,4,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,0,1,0,1,7,1,-1,2,2,0,1,1,2,0,0,2,0,0,0,0
149,0,0,2,0,2,5,4,5,-1,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6,0,1,2,3,4,3,3,5,2,-1,0,0,0,1,2,2,2,2,0,1,2,1,2
150,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,2,4,0,2,0,0,2,1,0,2,2,2,1,2,2,2,0,2,0
151,0,0,2,3,3,2,6,6,5,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,2,0,0,5,4,1,2,1,1,2,1,2,2,0,0,0,2,1,2,0,0
152,0,1,0,1,4,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,0,0,0,1,0,1,7,1,2,1,1,0,0,0,2,0,2,2,1,0,0,0
153,0,1,0,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,4,1,2,1,0,1,0,1,2,1,0,2,0,2,0,2
154,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,0,2,0,0,0,0,1,0,0,0,2,1,2,0,0,0,1
155,0,1,0,1,4,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,0,0,0,1,0,1,7,1,-1,2,1,0,0,1,1,2,2,2,2,1,0,0
156,0,1,0,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,4,1,2,1,2,0,1,1,0,2,0,2,2,2,0,2
157,0,1,0,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,4,1,2,1,1,0,0,1,2,2,0,2,0,2,0,2
158,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,0,2,0,-1,1,2,2,0,2,2,0,0,1,2,0,1,0
159,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,0,2,0,0,2,2,1,0,1,0,0,2,2,0,1,0,0
160,0,0,2,0,2,5,4,3,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,1,1,2,0,1,2,3,4,3,3,5,2,1,1,0,0,2,0,2,0,0,1,2,2,0,0
161,0,1,0,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,0,1,2,1,1,0,0,0,2,2,0,1,1,1,1,2
162,0,0,2,3,3,2,2,0,24,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,6,0,0,2,3,4,5,4,1,2,1,0,1,1,1,0,2,0,0,0,2,0,0,2
163,0,1,0,1,4,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,0,0,0,1,0,1,7,1,2,2,0,0,2,2,0,1,1,2,1,2,1,2
164,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,6,6,0,0,1,2,0,0,0,0,2,1,1,0,0,1,2
165,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,0,2,0,0,0,1,0,1,2,2,0,2,1,2,2,0,1
166,0,1,0,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,4,1,2,2,2,2,0,1,2,0,0,2,1,0,1,2
167,0,0,1,3,3,4,3,4,-1,4,0,0,0,0,0,0,0,0,1,2,1,3,5,3,6,0,0,2,0,0,5,4,1,2,1,1,1,0,2,2,2,1,2,1,2,2,2,2
168,0,0,1,2,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,1,1,1,0,2,0,2,0,-1,1,1,2,1,0,2,1,0,2,0,0,1,2
169,0,1,0,1,4,0,5,7,15,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,0,0,0,1,0,1,7,1,-1,2,1,2,0,0,2,0,2,1,0,2,2,1
170,0,1,0,3,4,0,5,7,25,10,0,0,0,0,0,0,0,0,0,0,1,4,5,5,3,0,0,0,0,1,0,1,7,1,-1,0,0,1,0,1,0,1,0,2,2,2,0,2
171,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,2,4,5,3,0,0,0,1,2,2,1,2,0,1,0,0,0,2,1
172,0,0,2,0,2,5,4,3,-1,11,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,2,3,4,3,3,5,2,1,0,2,0,1,2,0,0,0,1,0,0,2,1
173,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,2,4,0,2,0,0,1,0,2,2,0,0,0,2,2,0,1,0,2
174,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,0,2,0,0,0,0,2,1,0,0,2,1,2,2,2,0,0
175,0,1,0,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,4,1,2,1,1,2,1,2,1,0,2,1,2,1,0,0
176,0,1,0,1,0,3,0,2,-1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,0,1,-1,0,2,2,1,2,0,1,0,0,0,0,2,2
177,0,1,0,1,4,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,0,0,0,1,0,1,7,1,2,2,1,2,2,1,2,2,0,1,0,2,2,2
178,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,2,4,5,3,0,0,1,0,1,0,1,2,1,1,1,2,0,0,0
179,0,0,2,0,2,2,2,3,1,1,0,0,0,0,0,0,0,0,1,2,3,3,4,0,2,0,1,2,3,4,3,3,5,2,1,0,1,0,1,1,0,0,2,0,2,2,1,0
180,0,1,0,1,4,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,0,0,0,1,0,1,0,1,2,0,1,0,2,2,0,0,2,1,2,2,1,2
181,0,1,0,1,4,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,0,1,0,1,7,1,-1,0,2,0,2,0,1,2,0,2,2,0,2,0
182,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,2,4,5,3,0,0,0,1,2,0,1,2,0,0,0,2,1,2,1
183,0,0,2,0,2,5,4,3,26,11,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,2,3,4,3,3,5,2,1,0,2,2,0,0,2,2,0,1,2,2,1,0
184,0,0,2,3,3,4,6,6,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,2,0,0,5,4,1,2,1,1,0,0,2,1,1,1,2,0,2,2,1,2
185,0,0,2,0,2,2,2,3,27,1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,1,2,3,4,3,3,5,2,1,0,0,2,2,0,2,0,1,0,2,2,0,1
186,0,0,1,2,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,1,1,1,0,2,0,2,0,-1,1,0,1,2,0,1,2,2,0,2,1,0,1
187,0,1,2,3,3,4,2,0,-1,5,0,0,0,0,0,0,0,0,0,2,1,4,5,3,6,0,0,0,0,1,5,4,1,2,-1,1,0,0,2,2,2,2,0,0,0,2,0,1
188,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,0,2,0,-1,2,2,1,2,2,1,0,1,1,2,0,2,2
189,0,1,0,1,4,3,0,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,0,1,0,1,7,1,-1,0,2,2,0,2,1,1,1,2,2,0,1,0
190,0,1,0,3,3,4,3,4,-1,8,0,0,0,0,0,0,0,0,0,0,1,4,5,3,3,0,0,0,0,1,5,4,1,1,-1,2,1,1,2,1,0,1,1,1,1,1,2,1
191,0,1,0,1,4,0,5,7,-1,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,0,0,0,1,0,1,0,1,-1,2,0,0,2,2,0,2,1,2,1,0,2,1
192,0,1,0,1,4,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,0,1,0,1,7,1,2,0,0,0,0,0,0,0,0,1,1,2,0,0
193,0,0,2,0,2,5,4,5,28,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,2,3,4,3,3,5,2,1,1,1,1,1,2,2,1,1,0,1,2,2,2
194,0,1,0,1,4,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,3,0,0,0,0,1,0,1,7,1,-1,0,2,0,0,2,2,0,2,0,2,1,1,2
195,0,0,2,3,3,4,6,6,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,2,0,0,5,4,1,2,1,0,1,1,1,1,2,0,2,1,1,0,0,1
196,0,1,0,1,4,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,0,1,0,1,7,1,2,2,2,2,1,1,0,0,0,1,0,0,2,2
197,0,1,0,1,4,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,0,1,0,1,7,1,-1,0,2,2,0,2,2,1,2,1,1,0,0,1
198,0,0,2,3,3,2,6,6,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,2,0,0,5,4,1,2,1,1,1,2,2,2,1,2,0,2,2,1,1,0
199,0,0,1,2,1,1,6,6,29,1,0,0,0,0,0,0,0,0,1,1,0,1,4,4,2,0,1,2,0,0,5,4,1,0,1,1,2,2,1,2,1,2,2,1,2,1,0,0
200,0,1,0,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,4,1,2,1,2,1,0,2,0,2,1,1,0,2,1,0
201,0,1,0,1,4,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,0,1,0,1,7,1,-1,0,0,2,1,2,2,2,0,2,2,2,2,2
202,0,1,0,1,4,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,3,0,0,0,0,1,0,1,7,1,-1,2,2,2,2,0,1,1,2,1,2,1,0,1
203,0,1,0,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,0,1,2,2,2,2,0,0,2,1,0,0,2,2,0,2
204,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,2,4,5,3,0,-1,2,0,1,2,2,2,0,2,2,0,0,0,0
205,0,1,0,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,4,1,2,1,1,1,0,0,0,0,2,1,2,1,0,1
206,0,1,0,1,4,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,0,1,0,1,7,1,2,2,1,0,2,2,0,2,0,2,2,2,0,2
207,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,2,4,0,2,0,0,2,1,0,0,0,0,0,1,2,1,0,2,2
208,0,0,2,0,2,2,6,3,-1,1,0,0,0,0,0,0,0,0,1,2,3,3,4,4,2,0,1,2,3,4,3,3,5,2,1,0,2,1,0,1,1,2,2,2,2,1,1,1
209,0,0,2,0,2,5,4,3,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,2,3,4,3,3,5,2,1,0,0,2,0,1,2,2,0,1,0,1,0,1
210,0,1,0,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,4,1,2,0,0,0,0,1,0,1,0,0,0,2,2,2
211,0,1,0,3,3,4,3,4,30,8,0,0,0,0,0,0,0,0,0,2,1,4,5,3,3,0,0,0,0,0,5,4,1,2,-1,0,1,1,1,1,1,0,0,0,1,0,0,0
212,0,0,2,3,3,2,2,0,3,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,6,0,0,2,0,0,5,4,1,2,1,0,2,2,0,2,2,0,2,0,1,0,0,2
213,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,6,6,0,0,1,0,2,2,0,2,1,1,0,1,0,0,0
214,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,0,2,0,0,0,2,2,0,2,1,2,0,2,0,1,1,0
215,0,1,0,1,4,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,0,0,0,1,0,1,7,1,2,2,1,0,1,2,2,1,2,2,0,1,2,0
216,0,1,0,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,4,1,2,2,0,0,1,1,0,1,0,2,2,2,2,0
217,0,1,0,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,0,1,-1,1,1,2,0,1,1,1,1,0,0,0,2,1
218,0,1,0,1,4,0,5,7,-1,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,0,0,0,1,0,1,7,1,-1,2,0,1,1,0,0,2,0,2,1,2,0,1
219,0,0,1,2,1,5,4,3,-1,-1,2,0,0,0,0,0,0,0,1,1,0,1,1,2,5,0,1,2,3,4,3,3,5,0,-1,1,2,2,0,0,0,1,0,1,0,1,2,1
220,0,0,2,0,2,5,4,3,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,2,3,4,3,3,5,2,1,1,0,1,0,2,1,0,1,2,2,2,1,2
221,0,0,2,0,2,2,2,3,1,1,0,0,0,0,0,0,0,0,1,2,3,3,4,0,2,0,1,2,3,4,3,3,5,2,1,1,0,2,2,0,0,2,2,1,2,2,1,2
222,0,1,0,1,4,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,0,0,0,1,0,1,0,1,2,1,0,1,2,2,2,0,1,0,0,0,0,0
223,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,2,4,0,2,0,0,1,2,2,2,0,2,0,2,2,1,0,0,0
224,0,0,1,2,1,1,1,1,-1,12,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,1,2,3,4,3,3,5,0,-1,2,1,0,2,2,1,0,1,2,2,0,2,1
225,0,0,2,0,2,5,4,3,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,2,3,4,3,3,5,2,1,1,2,0,0,1,1,2,2,0,1,0,2,1
226,0,1,0,1,4,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,0,1,0,1,7,1,2,2,1,1,1,2,1,0,1,1,1,0,0,2
227,0,0,1,2,1,1,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,1,1,1,0,2,0,2,0,-1,0,2,2,0,2,1,2,0,2,0,0,2,0
228,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,0,2,0,0,1,0,1,2,2,2,1,2,1,1,2,2,1
229,0,0,2,3,3,2,2,0,24,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,6,0,0,2,3,0,5,4,1,2,1,1,0,2,2,0,1,0,0,0,2,0,1,2
230,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,2,4,5,3,0,0,2,1,0,0,2,0,2,1,1,0,1,2,1
231,0,1,0,1,4,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,0,0,0,1,0,1,7,1,2,0,2,0,0,0,0,0,0,2,2,1,2,0
232,0,1,0,1,4,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,0,0,0,1,0,1,7,1,2,2,2,0,1,2,0,0,1,2,1,1,1,0
233,0,1,0,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,4,1,2,0,2,0,2,1,2,2,1,1,1,1,0,1
234,0,1,0,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,4,1,2,0,2,0,0,1,0,0,1,2,1,0,0,1
235,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,6,6,0,0,0,0,1,1,0,1,1,2,0,1,0,0,1
236,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,0,2,0,2,0,0,1,0,0,1,2,2,0,1,2,0,0,2,1
237,0,1,0,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,0,1,2,2,0,0,1,1,1,2,0,0,1,2,2,1
238,0,1,0,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,4,1,2,0,0,2,2,1,1,2,1,0,1,2,2,0
239,0,0,1,2,1,1,1,1,-1,12,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,2,3,4,3,3,5,0,-1,0,0,2,2,2,0,1,1,2,2,1,0,0
240,0,1,0,3,3,4,3,4,-1,-1,0,0,0,0,0,0,0,0,0,0,1,4,5,3,7,0,0,0,0,0,5,4,1,1,-1,2,2,1,0,1,0,2,0,1,0,2,0,0
241,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,2,4,5,3,0,-1,1,0,0,1,0,2,0,1,1,1,0,1,0
242,0,0,2,3,3,4,6,6,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,2,0,0,5,4,1,2,1,2,2,0,2,1,2,2,0,1,2,1,0,0
243,0,1,0,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,0,1,2,0,0,1,0,1,2,1,1,2,1,0,2,1
244,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,2,4,5,3,0,0,0,1,2,1,0,2,1,1,2,2,0,2,2
245,0,1,0,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,0,1,2,0,0,1,0,0,0,0,0,1,1,2,1,1
246,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,2,4,5,3,0,0,1,2,2,2,0,2,1,0,1,2,1,0,1
247,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,2,4,5,3,0,0,2,0,0,1,0,1,0,0,1,2,0,2,1
248,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,2,4,5,3,0,0,1,0,0,2,1,0,2,0,0,2,0,0,2
249,0,0,2,0,2,5,4,5,28,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,2,3,4,3,3,5,2,1,0,0,1,1,1,2,0,2,1,0,0,0,2
250,0,0,2,0,2,2,2,3,27,1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,1,2,3,4,3,3,5,2,1,2,2,1,2,0,1,0,2,2,0,2,2,1
251,0,1,0,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,2,3,1,2,4,1,2,2,2,0,1,2,2,2,2,0,0,1,2,1
252,0,0,2,0,2,5,4,5,31,13,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,2,3,4,3,3,5,2,-1,2,1,1,2,1,0,2,2,1,0,0,1,1
253,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,1,2,4,5,3,0,0,2,2,1,2,0,0,1,2,2,0,1,0,0
