,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,mean_shift_,optics_,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25
97,0,0,0,2,4,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,3,3,4,3,5,1,-1,2,0,2,0,0,0,2,1,1,1,0,0,0,1,2,2,2,0,1,1,1,1,2,2,2
98,0,0,0,2,4,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,1,3,3,4,3,5,1,-1,0,1,2,0,2,0,1,2,1,1,1,0,2,0,1,2,1,1,0,2,2,0,0,0,1
99,0,1,1,1,0,2,1,0,-1,-1,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,1,0,6,0,-1,1,1,1,0,0,0,2,1,1,0,1,0,1,0,2,1,0,2,1,1,0,0,0,2,2
100,0,0,0,2,1,4,6,5,-1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,0,0,1,2,1,-1,1,2,2,0,1,2,2,0,2,2,1,1,2,0,0,0,2,2,0,2,0,1,0,1,2
101,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,1,0,6,0,-1,2,2,1,0,2,1,1,1,0,1,2,2,0,2,0,0,2,1,2,1,1,1,2,2,1
102,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,1,5,6,1,0,-1,1,1,1,0,2,2,1,2,1,0,0,2,1,1,0,2,1,1,0,0,1,1,0,0,0
103,0,1,1,1,0,2,1,0,16,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,1,5,6,1,0,-1,2,2,2,1,1,1,2,0,1,2,1,2,2,1,1,1,1,0,0,1,2,1,1,2,0
104,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,1,6,1,0,2,2,0,1,2,0,1,1,2,1,1,0,1,1,1,1,1,2,1,2,0,1,2,1,0,2
105,0,0,0,2,1,4,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,0,0,1,2,1,17,0,0,0,1,1,2,2,0,0,2,0,2,0,0,2,2,0,1,0,0,0,0,2,0,1
106,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,1,0,6,0,-1,1,1,0,2,2,0,1,1,1,2,1,0,0,2,2,0,1,2,2,0,0,2,2,1,0
107,0,1,2,0,2,5,0,4,-1,1,0,0,0,0,0,0,0,0,1,2,1,3,5,3,6,0,1,2,3,1,2,5,0,2,-1,1,2,0,0,2,0,0,0,1,1,1,1,0,0,2,0,0,1,2,1,2,1,0,1,0
108,0,1,2,3,3,3,4,3,1,1,0,0,0,0,0,0,0,0,1,2,3,3,4,0,2,0,0,2,0,4,3,4,3,2,9,1,2,2,2,0,2,0,1,1,2,1,2,0,2,0,1,2,1,2,2,1,2,2,2,1
109,0,0,0,0,2,5,0,4,-1,8,0,0,0,0,0,0,0,0,0,2,1,4,5,3,3,0,1,1,3,1,2,5,0,1,13,0,2,0,1,0,2,1,2,2,1,0,1,1,1,2,1,0,0,1,0,0,2,0,0,1
110,0,1,2,3,3,3,2,3,9,1,0,0,0,0,0,0,0,0,1,2,3,3,4,0,2,0,0,2,0,4,3,4,3,2,12,1,0,0,0,1,0,1,1,2,2,0,0,0,2,0,2,1,1,0,0,2,0,2,0,2
111,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,1,5,2,4,0,-1,2,2,0,2,1,1,1,2,0,0,0,2,0,0,2,1,0,1,0,1,1,1,0,1,1
112,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,1,6,1,0,-1,1,2,1,2,0,1,1,0,2,2,2,2,0,1,0,2,0,0,1,2,1,1,0,1,1
113,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,1,5,2,4,0,-1,1,0,1,2,2,1,2,0,1,0,0,0,1,1,0,1,1,1,0,2,2,0,2,2,1
114,0,1,2,0,2,3,4,3,19,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,2,0,4,2,5,0,2,-1,2,1,1,2,1,0,1,1,2,2,0,1,1,2,2,1,0,0,0,1,2,2,2,2,2
115,0,0,0,2,4,1,3,1,15,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,1,3,3,4,3,5,1,24,0,1,0,0,1,2,1,0,0,1,1,0,2,1,0,1,2,2,1,2,1,1,1,0,2
116,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,1,0,6,0,-1,0,2,1,1,0,0,0,1,2,1,1,0,1,0,2,2,2,2,0,0,2,0,2,1,1
117,0,0,0,2,1,4,6,5,-1,-1,-1,1,0,0,0,0,0,0,0,0,2,0,3,3,1,0,1,1,2,0,0,1,7,1,-1,1,1,2,2,1,2,1,1,0,0,2,1,0,0,0,2,0,0,2,2,0,1,0,0,1
118,0,0,0,2,1,4,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,0,0,1,7,1,18,2,0,0,2,2,2,2,1,0,0,0,1,0,0,1,2,0,0,2,1,0,0,1,0,2
119,0,0,0,2,1,4,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,0,0,1,7,1,17,0,2,0,2,0,0,1,2,2,1,2,2,0,2,1,1,2,0,2,1,1,0,2,2,1
120,0,0,0,2,1,4,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,0,0,1,2,1,20,1,0,1,2,1,1,2,2,2,0,0,2,2,2,2,2,0,0,2,0,0,1,1,2,2
121,0,1,2,3,3,0,2,6,20,9,0,0,0,0,0,0,0,0,1,2,3,2,2,1,5,0,0,2,0,4,3,4,3,2,-1,0,2,1,1,0,0,0,1,0,2,1,0,2,2,2,2,0,2,2,1,0,2,2,1,0
122,0,1,2,3,3,3,2,3,-1,-1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,0,2,0,4,3,4,3,2,-1,1,1,0,2,1,1,0,0,1,1,1,2,2,0,0,2,0,2,2,0,0,0,1,1,1
123,0,1,2,3,3,3,5,7,21,1,0,0,0,0,0,0,0,0,1,2,3,2,4,4,2,0,0,2,0,4,3,4,3,2,-1,0,1,2,0,1,0,1,0,1,2,1,1,1,0,1,2,1,1,1,1,2,1,2,1,1
124,0,0,0,2,4,1,3,1,15,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,1,3,3,4,3,5,1,24,0,0,1,2,0,2,1,1,2,0,1,2,0,0,2,2,2,0,0,2,1,0,0,0,2
125,0,0,0,2,1,4,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,0,0,1,2,1,-1,2,1,0,2,1,0,1,1,1,1,1,2,1,1,1,1,0,0,1,1,1,1,0,0,2
126,0,1,2,0,2,3,2,3,22,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,2,0,4,3,4,3,2,12,0,2,2,2,1,2,2,2,0,0,2,1,0,1,2,0,1,1,1,0,0,1,0,2,2
127,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,1,0,6,0,-1,2,0,2,1,0,0,2,0,2,2,1,1,0,1,0,2,2,2,1,1,1,1,1,0,2
128,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,1,2,4,0,1,1,0,0,0,1,2,0,0,0,2,2,2,0,2,2,2,1,0,1,1,2,0,0,1,1
129,0,1,2,3,3,0,2,6,-1,-1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,0,4,3,4,3,2,-1,0,1,1,1,0,2,0,2,1,0,1,2,2,1,0,2,0,0,2,1,1,2,2,0,0
130,0,0,0,2,1,4,6,5,-1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,0,0,1,7,1,-1,2,0,2,2,2,2,1,2,1,2,2,0,1,0,2,2,2,0,0,1,2,1,1,1,0
131,0,1,2,0,2,3,4,2,23,1,0,0,0,0,0,0,0,0,1,1,0,3,4,4,2,0,0,2,0,1,2,5,0,2,-1,2,2,2,1,1,2,2,0,1,1,0,1,1,2,1,2,0,1,0,0,2,1,0,0,1
132,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,1,0,6,0,-1,0,2,2,1,0,1,1,2,2,2,0,1,1,2,0,2,2,1,0,2,1,1,1,2,1
133,0,0,0,2,4,1,3,1,-1,-1,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,1,3,3,4,3,7,1,-1,0,0,2,2,0,2,0,1,1,0,1,1,2,0,2,1,2,1,1,0,2,1,1,0,2
134,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,1,5,6,1,0,-1,0,1,0,0,1,2,0,1,0,0,0,2,0,2,0,1,1,1,2,0,1,1,0,0,0
135,0,0,0,2,1,4,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,0,0,1,2,1,20,2,2,0,1,1,1,2,0,1,2,0,0,0,0,1,0,1,1,1,0,2,2,2,0,1
136,0,0,0,2,1,4,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,0,0,1,2,1,-1,2,0,2,2,2,1,2,0,0,0,2,2,1,1,0,0,0,1,2,1,1,2,2,2,0
137,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,1,6,1,0,-1,0,0,1,1,2,1,1,0,2,2,2,1,1,2,1,0,2,0,0,0,1,0,1,1,2
138,0,0,0,2,4,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,3,0,1,1,3,3,4,3,5,1,-1,0,2,1,0,2,2,0,0,2,0,2,0,0,0,0,1,0,0,2,2,1,0,2,1,1
139,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,1,5,6,1,0,3,1,1,2,0,2,0,0,2,0,2,2,0,1,0,0,1,2,1,0,2,0,2,0,1,1
140,0,1,2,3,3,0,5,7,13,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6,0,0,2,0,4,3,4,3,2,14,2,2,1,0,2,0,1,2,2,0,2,2,2,2,0,0,1,1,1,1,1,0,1,2,2
141,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,1,5,6,1,0,5,0,0,1,1,2,2,1,1,1,1,0,0,0,0,1,2,2,1,2,0,2,1,1,1,2
142,0,0,0,2,4,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,1,3,3,4,3,5,1,-1,0,1,0,2,1,0,2,0,0,2,1,1,1,1,1,1,0,0,1,2,0,0,2,0,2
143,0,1,2,3,3,3,5,7,21,1,0,0,0,0,0,0,0,0,1,2,3,2,4,4,2,0,0,2,0,4,3,4,3,2,8,1,2,1,1,2,2,2,0,2,1,1,2,1,2,2,0,0,2,2,1,0,1,0,0,1
144,0,1,2,0,2,3,4,3,3,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,6,0,1,2,3,1,2,5,0,2,-1,1,2,0,1,1,2,1,2,1,1,2,2,0,0,1,1,1,1,2,1,0,0,1,0,0
145,0,1,1,0,2,5,0,2,-1,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,3,1,2,5,0,2,-1,0,1,1,2,2,2,1,1,2,0,0,0,2,0,0,1,1,2,2,0,0,1,0,0,2
146,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,1,6,1,0,-1,2,1,1,1,2,1,0,1,1,2,2,0,0,2,2,2,1,2,0,2,1,2,1,2,0
147,0,0,0,2,1,4,6,5,-1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,0,0,1,2,1,-1,2,2,0,2,2,2,1,1,0,2,2,0,1,0,2,0,0,0,0,0,0,2,0,0,1
148,0,0,0,2,4,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,3,3,4,3,5,1,-1,1,0,1,2,2,1,0,0,1,2,2,1,0,2,2,2,0,2,2,1,1,0,2,2,1
149,0,1,2,3,3,0,5,7,-1,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6,0,0,2,0,4,3,4,3,2,14,0,1,2,0,2,0,2,1,2,0,0,0,0,0,0,1,0,1,0,0,2,0,1,1,1
150,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,1,6,1,0,-1,2,1,0,2,2,1,1,1,2,0,0,2,1,1,0,1,2,2,1,0,1,2,0,0,1
151,0,1,2,0,2,3,4,2,5,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,3,1,2,5,0,2,-1,0,0,2,2,0,2,1,1,2,2,1,1,0,2,2,0,0,1,1,0,2,0,0,0,0
152,0,0,0,2,4,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,1,3,3,4,3,5,1,16,2,2,0,1,1,2,1,2,0,2,1,1,2,2,1,0,0,0,2,2,0,0,2,0,1
153,0,0,0,2,1,4,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,0,0,1,2,1,23,1,1,0,1,2,2,2,0,0,2,0,1,0,0,0,2,1,1,1,1,2,2,2,1,0
154,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,1,5,6,1,0,-1,1,1,0,0,1,1,2,1,1,2,2,0,2,1,0,1,0,0,0,0,2,2,1,0,2
155,0,0,0,2,4,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,1,3,3,4,3,5,1,-1,0,1,2,2,1,1,0,2,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,2,2
156,0,0,0,2,1,4,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,0,0,1,2,1,19,0,2,2,2,1,0,2,0,2,1,0,2,1,1,2,2,0,0,0,0,1,1,2,0,2
157,0,0,0,2,1,4,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,0,0,1,2,1,19,0,1,0,0,0,2,0,2,0,2,2,2,1,0,2,1,1,0,1,2,0,1,0,0,2
158,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,1,5,6,1,0,-1,0,1,2,0,0,0,0,2,1,0,2,1,2,0,1,0,2,2,1,1,0,0,0,1,2
159,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,1,5,6,1,0,5,1,1,1,2,0,2,0,0,0,1,0,0,2,2,2,1,2,2,2,2,2,2,1,0,2
160,0,1,2,3,3,0,5,7,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,1,1,2,0,0,2,0,4,3,4,3,2,-1,1,2,2,0,0,1,0,1,2,2,0,2,2,0,2,0,0,0,0,2,0,1,1,1,0
161,0,0,0,2,1,4,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,0,0,1,7,1,17,0,0,2,1,1,1,0,1,0,2,0,2,1,2,2,0,0,0,2,1,0,1,0,0,1
162,0,1,2,0,2,3,4,3,24,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,6,0,1,2,0,4,2,5,0,2,10,0,0,2,2,0,0,1,2,0,0,1,1,1,1,0,1,0,1,1,0,2,0,2,0,1
163,0,0,0,2,4,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,1,3,3,4,3,5,1,15,2,2,1,1,2,1,2,0,2,1,1,2,0,0,2,1,2,1,1,0,0,2,2,2,0
164,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,1,5,2,4,0,-1,1,1,0,1,1,0,2,2,2,1,0,0,0,0,0,2,0,1,0,0,2,1,2,0,2
165,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,1,5,6,1,0,4,1,2,1,2,2,2,0,2,1,1,1,0,0,2,0,1,2,2,1,0,2,2,0,0,1
166,0,0,0,2,1,4,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,0,0,1,2,1,-1,1,1,1,1,1,2,0,2,2,1,1,2,2,1,0,1,1,0,1,2,1,1,1,1,1
167,0,1,1,0,2,5,0,4,-1,4,0,0,0,0,0,0,0,0,1,2,1,3,5,3,6,0,1,2,3,1,2,5,0,2,-1,1,1,2,2,1,1,0,0,1,1,1,1,0,2,2,2,0,0,0,0,1,2,0,0,0
168,0,1,1,1,0,2,1,0,-1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,0,0,1,1,5,6,1,0,-1,2,0,0,2,2,0,1,2,1,0,2,0,1,0,2,1,1,2,2,0,2,0,0,2,2
169,0,0,0,2,4,1,3,1,15,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,1,3,3,4,3,5,1,24,2,0,2,0,2,2,2,0,2,1,2,1,0,0,2,0,0,1,1,2,0,2,2,1,2
170,0,0,0,0,4,1,3,1,25,10,0,0,0,0,0,0,0,0,0,0,1,4,5,5,3,0,1,1,3,3,4,3,5,1,-1,0,1,2,2,0,0,2,1,2,0,1,2,1,2,0,1,1,0,0,2,2,1,0,0,0
171,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,1,0,6,0,1,1,0,2,1,2,2,1,1,1,1,0,2,0,1,1,0,1,0,0,0,1,0,0,1,1
172,0,1,2,3,3,0,2,7,-1,11,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,0,4,3,4,3,2,-1,2,1,0,0,2,2,2,0,2,1,1,0,1,2,0,2,1,1,2,0,2,2,0,2,2
173,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,1,6,1,0,-1,1,1,1,2,2,2,1,0,2,1,2,2,0,1,1,1,0,0,2,2,2,1,1,1,0
174,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,1,5,6,1,0,3,1,1,2,2,0,0,0,0,2,2,0,1,2,1,0,0,2,2,1,1,1,0,0,1,2
175,0,0,0,2,1,4,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,0,0,1,2,1,18,0,0,2,2,2,2,1,0,0,0,2,2,2,0,0,0,2,2,1,0,0,0,1,0,2
176,0,0,0,2,1,4,6,5,-1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,0,0,1,7,1,-1,0,2,2,2,1,1,1,0,1,1,1,2,2,1,1,2,0,2,2,1,1,1,0,0,2
177,0,0,0,2,4,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,1,3,3,4,3,5,1,16,0,0,0,2,0,2,2,0,2,0,0,0,1,2,2,0,1,2,1,1,2,0,0,0,2
178,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,1,0,6,0,-1,1,2,1,1,1,1,1,1,2,0,1,2,0,0,0,1,1,0,1,1,2,1,1,1,1
179,0,1,2,3,3,3,4,3,1,1,0,0,0,0,0,0,0,0,1,2,3,3,4,0,2,0,0,2,0,4,3,4,3,2,9,2,1,0,2,1,1,2,1,1,0,0,1,2,2,1,0,2,0,0,0,2,0,1,1,0
180,0,0,0,2,4,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,1,3,3,4,3,7,1,22,1,2,1,2,0,0,2,1,2,1,0,1,2,2,1,2,2,1,2,0,1,2,1,0,1
181,0,0,0,2,4,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,3,3,4,3,5,1,-1,0,2,0,1,1,0,2,0,2,2,1,1,0,2,1,1,2,0,2,2,2,2,1,1,0
182,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,1,0,6,0,-1,0,2,1,1,0,0,0,0,1,2,2,1,2,2,2,0,2,1,2,2,1,0,2,1,0
183,0,1,2,3,3,0,2,7,26,11,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,0,4,3,4,3,2,-1,1,2,0,1,2,1,2,0,0,0,1,2,2,2,1,1,1,0,2,1,2,1,0,1,0
184,0,1,2,0,2,5,4,2,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,3,1,2,5,0,2,-1,1,2,0,1,1,0,2,1,1,2,0,0,1,2,0,2,0,0,0,2,2,1,2,2,2
185,0,1,2,3,3,3,2,3,27,1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,0,2,0,4,3,4,3,2,-1,1,0,0,0,2,1,2,2,0,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1
186,0,1,1,1,0,2,1,0,-1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,0,0,1,1,5,6,1,0,-1,0,1,2,0,0,1,0,1,0,1,1,1,0,1,2,0,1,2,2,2,2,1,2,2,2
187,0,0,2,0,2,5,0,4,-1,5,0,0,0,0,0,0,0,0,0,2,1,4,5,3,6,0,1,1,3,3,2,5,0,2,-1,1,0,0,2,1,0,0,1,2,1,1,0,0,1,1,2,0,2,2,0,2,1,1,0,1
188,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,1,5,6,1,0,-1,0,2,2,0,1,1,0,1,2,0,2,0,2,0,2,1,2,1,0,0,0,0,0,2,2
189,0,0,0,2,4,4,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,3,3,4,3,5,1,-1,2,0,1,0,0,1,1,1,2,2,2,1,2,1,2,1,0,1,0,1,0,1,2,2,0
190,0,0,0,0,2,5,0,4,-1,8,0,0,0,0,0,0,0,0,0,0,1,4,5,3,3,0,1,1,3,3,2,5,0,1,13,0,1,0,0,1,0,1,2,2,1,1,1,2,1,2,0,1,2,2,2,1,0,0,1,0
191,0,0,0,2,4,1,3,1,-1,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,1,3,3,4,3,7,1,-1,2,2,1,0,2,1,2,0,1,1,1,1,2,1,2,1,0,0,0,2,2,1,0,1,2
192,0,0,0,2,4,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,3,3,4,3,5,1,16,0,0,2,2,1,0,2,2,0,0,1,2,2,0,1,0,1,1,2,0,2,2,1,2,1
193,0,1,2,3,3,0,5,7,28,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,0,4,3,4,3,2,-1,2,2,2,0,0,1,2,0,1,0,2,1,2,0,0,1,1,0,2,1,1,2,0,0,0
194,0,0,0,2,4,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,3,0,1,1,3,3,4,3,5,1,-1,0,1,0,0,0,2,0,0,0,1,1,0,2,2,1,2,2,1,1,1,2,2,0,0,1
195,0,1,2,0,2,5,4,2,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,3,1,2,5,0,2,11,0,2,0,0,2,2,1,2,2,1,1,0,2,0,0,1,1,0,2,1,1,2,2,2,1
196,0,0,0,2,4,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,3,3,4,3,5,1,16,1,0,1,1,1,2,2,2,1,1,2,1,0,2,0,0,0,2,1,2,2,2,1,1,0
197,0,0,0,2,4,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,3,3,4,3,5,1,-1,2,0,2,2,0,2,0,0,0,2,2,0,1,0,2,2,1,1,0,2,1,1,2,1,1
198,0,1,2,0,2,3,4,2,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,3,1,2,5,0,2,11,0,2,1,1,1,1,0,0,0,0,2,2,0,2,1,1,2,1,1,0,1,0,2,2,2
199,0,1,1,1,0,2,4,2,29,1,0,0,0,0,0,0,0,0,1,1,0,1,4,4,2,0,0,2,3,1,2,5,0,0,-1,0,0,1,2,0,1,2,0,2,0,1,0,0,2,2,2,0,2,0,1,1,1,1,0,0
200,0,0,0,2,1,4,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,0,0,1,2,1,-1,2,1,2,2,0,0,1,2,2,2,2,2,1,0,1,1,0,0,2,0,1,2,2,1,2
201,0,0,0,2,4,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,3,3,4,3,5,1,-1,0,0,0,0,2,2,2,0,1,2,2,2,2,1,1,1,1,0,0,2,1,2,1,1,2
