,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack,spectral_clustering_n_clusters_2_eigen_solver_arpack,spectral_clustering_n_clusters_3_eigen_solver_arpack,spectral_clustering_n_clusters_4_eigen_solver_arpack,spectral_clustering_n_clusters_5_eigen_solver_arpack,spectral_clustering_n_clusters_6_eigen_solver_arpack,spectral_clustering_n_clusters_7_eigen_solver_arpack,spectral_clustering_n_clusters_8_eigen_solver_arpack,mean_shift_,optics_min_samples_7_xi_0_05_min_cluster_size_0_1,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13
125,0,0,2,1,2,5,3,2,63,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,6,4,0,0,1,3,0,0,1,2,3,2,3,0,0,3,0
126,0,1,0,2,3,1,1,6,42,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,0,1,2,0,5,0,0,0,3,3,0,2,2,2,3,3,3,1,1,0,0
127,0,1,2,2,3,1,4,4,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,2,0,4,4,7,0,0,0,0,3,2,3,2,0,3,0,1,1,3,0
128,0,0,1,3,1,2,5,3,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,2,3,4,3,1,2,0,0,0,0,1,3,1,2,0,3,2,1,1,1,3
129,0,1,0,0,0,4,2,6,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,0,1,1,5,5,0,0,0,1,1,0,3,1,0,3,3,0,0,0,3,2
130,0,1,2,2,3,3,1,6,29,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,1,2,2,0,5,0,0,0,1,3,0,0,2,2,0,2,3,2,2,1,0
131,0,0,1,3,1,2,5,3,64,0,0,0,0,0,0,0,0,0,0,0,3,3,5,2,1,0,1,2,3,4,2,0,3,0,0,2,3,1,3,0,2,2,0,0,3,1,2,3
132,0,1,2,2,3,1,4,4,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,2,0,4,4,7,0,0,0,1,1,2,1,3,2,0,1,3,2,0,2
133,0,1,2,2,3,3,1,1,49,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,1,1,2,2,0,2,1,0,0,1,3,3,2,2,1,2,3,2,1,0,2,1
134,0,0,2,1,2,5,3,2,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,6,4,0,0,2,1,3,0,0,2,3,1,0,0,2,3,1
135,0,1,2,2,3,1,4,4,62,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,2,0,4,2,1,0,0,2,0,0,0,3,0,3,2,3,0,1,1,0
136,0,1,0,0,0,4,2,6,65,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,6,0,0,0,1,1,5,3,0,0,0,0,0,0,0,1,2,3,3,2,2,3,0,3
137,0,0,1,3,1,2,5,3,59,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,2,3,4,3,1,2,0,0,3,2,3,3,0,1,1,3,1,0,1,1,3
138,0,0,1,3,1,2,5,7,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,1,0,1,2,3,4,2,0,3,0,0,1,2,3,3,0,3,2,3,3,2,2,0,3
139,0,1,2,2,3,3,1,1,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,1,1,2,0,4,2,1,0,0,3,1,0,1,1,2,3,2,0,3,0,2,1
140,0,1,0,0,0,4,2,6,19,0,0,0,0,0,0,0,0,0,1,1,2,1,0,5,7,0,0,0,1,2,0,5,0,0,0,3,3,2,2,0,3,3,0,2,3,2,1,0
141,0,0,1,3,1,2,5,5,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,2,3,4,3,1,5,0,0,1,1,0,0,3,0,1,0,2,3,2,2,0
142,0,1,0,2,3,1,4,6,66,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,0,2,2,0,5,0,0,0,0,3,0,2,2,0,0,1,1,1,3,1,1
143,0,0,2,1,2,5,3,2,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,6,4,0,0,3,2,0,2,3,3,0,3,0,2,3,3,1
144,0,1,0,0,0,4,2,0,10,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,1,1,5,3,6,0,0,0,1,0,1,3,2,3,0,0,1,1,3,1
145,0,0,1,1,2,5,6,5,67,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,0,1,2,0,3,0,6,5,0,0,3,2,0,3,0,2,1,3,1,1,3,0,2
146,0,0,1,3,1,2,5,3,64,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,2,3,4,3,0,3,0,0,0,3,0,1,1,0,0,3,1,2,3,2,0
147,0,1,0,2,3,3,1,6,29,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,0,2,2,0,5,0,0,0,2,3,3,0,3,2,2,0,3,0,1,0,2
148,0,0,2,1,2,5,3,2,15,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,6,4,0,0,0,3,3,3,0,1,2,3,3,2,2,0,2
149,0,1,0,0,4,0,0,0,68,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,4,0,0,0,1,1,2,0,3,0,0,3,3,0,2,0,3,1,0,1,1,0,0,2
150,0,1,2,2,3,3,1,1,33,0,0,0,0,0,0,0,0,0,1,2,1,2,0,1,2,0,1,1,2,2,0,5,1,0,0,3,0,0,3,2,0,2,1,0,0,0,0,1
151,0,1,0,0,0,4,2,0,54,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,1,1,5,3,6,0,0,1,3,2,3,1,0,1,0,2,1,1,0,2
152,0,0,1,3,1,2,5,3,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,2,3,4,3,1,5,0,0,0,2,3,1,0,1,0,3,0,1,2,0,0
153,0,0,1,3,4,0,5,7,44,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,1,0,0,2,3,4,2,0,3,0,0,1,3,2,0,3,0,3,2,2,0,1,3,3
154,0,1,2,2,3,1,4,4,69,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,2,0,4,4,7,0,0,0,1,1,2,3,1,3,1,3,1,3,3,0
155,0,0,2,1,2,5,3,2,57,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,2,4,0,0,0,0,3,0,2,3,1,1,3,2,0,3,2
156,0,0,1,3,1,2,5,5,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,2,3,4,3,1,5,0,0,2,2,1,3,0,3,2,2,2,0,0,2,3
157,0,0,1,3,1,2,5,3,55,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,2,3,4,3,1,2,0,0,0,3,2,1,1,1,3,2,1,2,1,2,2
158,0,1,0,2,3,1,4,4,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,0,0,2,0,4,4,0,0,0,1,3,0,2,2,0,1,2,2,2,1,1,1
159,0,1,1,3,4,0,0,7,43,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,0,2,3,2,2,0,3,0,0,2,0,1,3,2,2,0,3,2,1,3,0,0
160,0,0,1,3,4,0,0,7,70,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,0,2,3,2,0,5,3,0,0,3,2,2,3,3,0,0,3,0,1,1,2,3
161,0,0,1,3,4,0,0,7,-1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,0,2,3,2,0,5,3,0,0,0,0,3,2,0,3,1,0,1,0,0,2,1
162,0,0,1,3,1,2,5,5,45,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,2,3,4,3,5,5,0,0,1,2,2,3,3,0,1,2,0,0,2,0,0
163,0,1,0,0,0,4,2,0,71,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,1,1,5,3,6,0,0,3,1,3,0,0,1,1,1,1,0,1,3,0
164,0,0,1,1,1,2,6,5,72,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,2,0,2,0,5,5,0,0,1,0,3,3,3,3,2,1,0,3,3,0,1
165,0,0,2,1,2,3,3,1,73,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,1,1,0,2,0,2,1,0,0,0,0,0,0,1,0,0,2,1,1,1,2,3
166,0,0,1,3,1,2,6,5,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,2,3,4,3,5,5,0,0,2,3,2,0,0,0,0,0,2,1,3,0,3
167,0,1,0,0,0,4,2,0,74,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,1,1,5,3,6,0,0,0,3,1,0,2,2,2,0,1,0,2,2,0
168,0,1,2,2,3,1,4,4,75,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,2,0,4,4,7,0,0,0,2,2,3,3,0,2,1,2,0,0,1,3
169,0,1,2,2,3,1,4,4,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,2,0,4,2,1,0,0,0,2,0,2,0,1,2,1,3,0,1,0,0
170,0,1,0,0,4,0,0,7,76,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,0,0,1,2,2,0,3,0,0,0,1,3,1,1,0,0,3,2,2,0,2,3
171,0,1,0,0,4,0,0,7,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,0,0,1,2,0,0,3,0,0,1,3,3,2,0,0,2,1,1,2,1,0,0
172,0,1,0,0,0,4,2,0,38,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,1,1,5,3,6,0,0,2,1,1,2,0,3,0,1,3,2,3,1,3
173,0,1,0,0,0,4,2,6,77,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,1,1,5,3,0,0,0,0,1,1,0,2,1,2,0,2,0,3,3,0
174,0,1,0,0,0,4,2,0,74,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,1,1,5,0,3,0,0,1,2,3,0,3,2,3,0,1,2,0,0,1
175,0,0,1,3,1,2,5,3,78,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,2,3,4,3,1,2,0,0,0,1,0,1,3,1,2,0,2,3,0,1,1
176,0,1,2,2,3,1,4,4,34,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,2,0,4,4,7,0,0,2,3,0,3,0,0,2,0,1,2,2,0,1
177,0,1,0,0,0,4,2,0,10,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,1,1,5,3,6,0,0,3,3,0,0,2,0,0,0,0,3,2,0,1
178,0,1,0,0,0,4,2,0,38,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,1,1,5,3,6,0,0,1,2,0,3,2,2,1,2,0,3,2,1,2
179,0,0,1,3,1,2,5,5,45,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,2,3,4,3,5,5,0,0,2,0,0,2,1,2,1,3,2,3,0,2,2
180,0,1,0,0,0,4,2,6,65,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,6,0,0,0,1,1,5,3,0,0,0,0,3,3,1,3,3,2,0,0,2,0,3,0
181,0,0,1,3,1,2,6,5,79,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,2,3,4,3,1,5,0,0,0,1,1,3,2,2,2,1,1,2,2,0,3
182,0,1,0,0,0,4,2,0,80,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,1,1,5,0,3,0,0,3,0,3,2,2,0,1,0,3,2,0,3,0
183,0,0,2,2,3,3,1,1,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,1,1,2,2,1,2,1,0,0,2,0,0,3,2,3,1,0,2,1,3,3,3
184,0,0,1,3,1,2,5,3,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,2,3,4,3,1,2,0,0,2,2,0,2,2,3,3,3,0,2,1,2,3
185,0,1,2,2,3,1,4,4,34,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,2,0,4,4,7,0,0,2,3,0,0,1,1,1,1,1,3,1,0,1
186,0,1,0,0,0,4,2,0,38,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,1,1,5,3,6,0,0,0,1,0,0,3,3,2,2,1,0,1,3,0
187,0,1,0,0,0,4,2,0,52,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,1,1,5,3,6,0,0,1,3,2,3,0,2,0,1,3,1,0,0,0
188,0,0,2,2,2,3,1,1,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,0,1,1,0,2,0,2,1,0,0,2,2,0,3,0,1,1,1,2,1,1,1,3
189,0,1,0,0,0,4,2,6,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,0,1,1,5,3,0,0,0,2,2,3,2,0,0,0,0,3,1,3,0,2
190,0,0,1,3,1,2,6,5,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,2,3,4,3,1,5,0,0,2,2,0,3,3,1,0,2,2,3,3,1,3
191,0,1,0,0,4,0,0,7,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,0,0,1,2,0,5,3,0,0,2,3,1,1,1,1,2,2,2,1,2,2,1
192,0,0,2,1,2,5,3,2,63,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,6,1,0,0,3,0,2,2,3,3,3,1,0,3,2,0,2
193,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,1,1,5,3,6,0,0,3,3,2,2,0,2,1,2,3,2,2,3,2
194,0,0,1,3,1,2,5,3,81,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,2,3,4,3,1,5,0,0,0,0,0,3,0,2,1,2,1,1,3,2,1
195,0,0,1,3,1,2,6,5,18,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,3,0,1,2,3,2,0,5,5,0,0,2,1,1,1,3,3,3,0,0,3,3,1,2
196,0,1,2,2,3,3,1,6,82,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,1,2,2,0,5,0,0,0,3,3,0,3,0,3,1,3,2,1,2,0,1
197,0,1,0,0,0,4,2,0,28,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,1,1,5,3,6,0,0,1,2,3,2,2,3,0,2,0,1,0,2,2
198,0,1,0,0,0,4,2,0,28,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,1,1,5,3,6,0,0,1,2,3,2,2,3,3,3,3,3,1,2,3
199,0,1,2,2,3,3,1,1,14,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,1,1,2,2,0,2,1,0,0,2,1,1,3,0,3,0,3,0,3,3,2,3
200,0,0,1,3,4,3,6,5,-1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,3,0,1,2,3,2,0,5,5,0,0,0,2,2,2,0,1,1,3,1,0,2,0,2
201,0,0,2,1,2,3,1,1,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,1,1,0,2,0,5,1,0,0,2,1,1,3,0,3,3,2,2,0,2,3,0
202,0,0,1,1,2,5,6,5,83,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,0,1,2,0,2,0,5,5,0,0,0,3,1,1,3,0,2,1,0,1,3,1,2
203,0,1,0,0,4,0,0,6,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,0,0,1,2,0,5,0,0,0,2,3,0,0,2,3,0,2,2,1,3,2,2
204,0,0,2,1,2,5,3,2,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,6,4,0,0,1,1,1,0,1,3,1,0,3,0,0,1,1
205,0,1,2,2,3,3,1,6,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,5,7,0,0,0,1,2,0,5,0,0,0,1,0,2,3,3,3,1,0,0,1,0,2,2
206,0,0,2,1,2,3,1,1,4,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,2,0,1,1,0,2,0,2,1,0,0,1,3,0,3,2,2,1,3,1,3,3,2,1
207,0,1,2,2,3,1,4,4,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,2,0,4,4,7,0,0,2,1,3,0,3,1,2,2,2,3,3,0,2
208,0,1,0,2,3,1,4,6,84,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,0,2,2,0,5,0,0,0,1,0,0,1,3,1,3,3,0,2,3,1,2
209,0,0,2,1,2,3,1,1,4,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,2,0,1,1,0,2,0,5,1,0,0,1,3,0,0,0,3,0,0,1,3,2,0,1
210,0,0,1,1,1,2,6,5,72,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,2,3,2,0,5,5,0,0,0,2,1,1,0,0,0,1,3,0,1,2,2
211,0,1,2,2,3,1,1,4,85,0,0,0,0,0,0,0,0,0,1,2,1,0,0,6,7,0,0,1,2,2,0,5,0,0,0,2,0,2,1,2,0,3,1,3,1,3,3,3
212,0,0,1,3,1,2,5,5,79,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,2,3,4,3,1,5,0,0,0,3,0,3,2,3,3,2,1,0,1,3,3
213,0,1,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,0,0,1,1,2,0,3,0,0,3,3,0,1,1,0,3,3,1,0,2,2,0
214,0,0,1,3,1,2,5,3,86,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,2,3,4,3,1,2,0,0,1,1,2,1,3,3,1,3,1,3,0,1,1
215,0,1,0,0,0,4,2,0,38,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,1,1,5,3,6,0,0,0,3,0,2,1,1,0,0,0,1,3,1,2
216,0,0,2,2,3,3,1,1,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,1,1,2,3,1,2,1,0,0,1,1,0,0,1,3,0,0,2,2,1,2,0
217,0,1,0,0,0,4,2,6,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,0,1,1,5,3,0,0,0,1,3,2,2,3,0,1,0,1,3,1,1,1
218,0,1,2,2,3,3,1,1,87,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,2,0,1,1,2,0,4,2,1,0,0,3,3,0,1,3,3,0,2,3,1,2,3,0
219,0,1,0,0,4,0,0,7,46,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,0,0,1,2,2,0,3,0,0,0,3,2,1,1,1,3,0,1,1,2,3,2
220,0,1,0,0,0,4,2,0,88,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,1,1,5,3,0,0,0,1,0,1,0,3,3,1,3,0,2,3,0,0
221,0,1,2,2,3,3,1,1,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,1,1,2,2,0,5,1,0,0,3,1,0,1,2,1,2,0,2,1,1,1,2
222,0,1,0,0,4,0,0,6,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,0,0,1,2,0,5,3,0,0,1,0,0,2,2,2,1,2,2,1,2,0,3
223,0,1,0,0,4,0,1,6,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,0,0,1,2,0,5,0,0,0,1,3,1,3,3,0,2,1,1,2,2,1,0
224,0,1,0,0,0,4,2,6,40,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,1,1,5,3,0,0,0,2,2,2,0,2,3,3,0,3,1,3,0,1
225,0,1,2,2,3,1,4,4,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,2,0,4,4,7,0,0,1,1,3,3,0,2,3,1,3,1,1,0,3
226,0,0,1,3,4,0,5,3,89,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,1,0,0,2,3,4,2,0,3,0,0,0,1,0,2,0,0,3,3,0,1,3,2,3
227,0,0,1,1,1,2,6,5,67,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,2,0,3,0,6,5,0,0,0,1,3,0,1,1,2,0,2,0,1,0,0
228,0,1,0,2,3,1,1,6,29,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,0,2,2,0,5,0,0,0,3,3,0,1,1,1,3,0,3,3,0,0,0
229,0,0,2,1,2,3,1,1,4,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,2,0,1,1,0,2,0,2,1,0,0,2,2,3,0,1,1,0,2,2,2,2,0,2
230,0,0,2,1,2,5,3,2,17,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,2,4,0,0,1,0,0,0,1,0,0,3,3,0,3,0,3
231,0,0,1,3,1,2,5,3,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,2,3,4,3,1,2,0,0,0,2,1,3,0,0,1,2,1,3,1,3,2
232,0,0,1,1,2,5,6,2,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,6,5,0,0,3,0,0,0,0,2,3,1,1,3,3,0,3
233,0,0,1,3,1,2,5,3,8,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,2,3,4,3,1,2,0,0,3,0,1,0,3,2,1,2,2,3,2,2,0
234,0,1,0,0,0,4,2,6,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,0,1,2,0,5,0,0,0,0,2,3,3,3,3,0,1,2,1,1,3,1
235,0,0,2,1,2,5,3,2,15,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,6,4,0,0,3,3,2,0,1,2,1,2,2,3,0,3,0
236,0,0,2,1,2,5,3,2,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,6,4,0,0,1,3,3,0,0,1,3,3,2,2,1,1,1
237,0,0,2,1,2,5,3,2,57,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,2,1,0,0,2,1,0,2,3,2,3,2,3,0,3,2,0
238,0,1,2,2,3,1,4,4,90,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,2,0,4,4,7,0,0,3,1,3,3,1,0,1,1,2,3,0,2,3
239,0,1,0,0,3,3,1,6,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,0,0,1,2,0,5,0,0,0,1,0,2,3,3,0,1,2,3,1,2,3,0
240,0,1,0,2,3,1,4,4,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,0,0,2,0,4,4,0,0,0,1,1,1,2,0,1,0,2,3,0,0,3,2
241,0,0,1,3,1,2,6,5,39,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,2,3,4,3,6,5,0,0,0,1,0,3,2,0,0,0,1,0,2,2,0
242,0,0,1,3,1,2,5,3,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,2,3,4,3,1,2,0,0,1,1,1,2,1,3,3,2,1,0,2,1,1
243,0,1,0,0,0,4,2,0,74,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,1,1,5,3,3,0,0,0,0,3,3,3,2,2,1,1,2,1,1,0
244,0,1,0,0,4,0,0,6,91,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,0,0,1,2,0,5,0,0,0,1,2,3,3,1,0,1,2,2,2,2,3,1
245,0,1,2,2,3,1,4,4,62,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,2,0,4,2,1,0,0,0,3,1,3,0,1,1,0,0,2,2,2,0
246,0,0,1,3,4,0,0,7,43,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,0,2,3,2,2,0,3,0,0,1,0,3,1,0,0,2,2,0,0,2,3,0
247,0,0,1,1,2,5,3,2,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,6,4,0,0,3,3,0,1,2,1,0,0,1,0,0,2,0
248,0,0,1,3,4,0,5,7,64,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,1,0,0,2,3,4,2,0,3,0,0,1,3,3,1,2,2,2,2,1,2,1,3,3
249,0,1,0,0,0,4,2,6,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,5,7,0,0,0,1,2,0,5,0,0,0,1,3,2,0,2,1,3,3,2,2,2,0,0
250,0,0,1,3,1,2,5,3,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,2,3,4,3,1,2,0,0,3,2,3,0,1,0,0,1,3,1,2,1,3
251,0,1,0,0,0,4,2,6,31,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,1,1,5,3,0,0,0,1,0,1,3,1,0,3,1,3,2,2,1,0
252,0,0,1,3,4,0,0,7,92,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,4,0,0,2,3,4,2,0,3,0,0,0,0,1,0,2,1,2,1,3,1,3,1,0
253,0,0,1,3,1,2,6,5,18,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,3,0,1,2,3,2,0,5,5,0,0,2,2,1,0,3,1,2,3,3,2,3,2,1
254,0,1,2,2,3,1,4,4,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,2,0,4,4,7,0,0,1,3,0,2,1,1,1,3,1,1,1,3,2
255,0,0,2,1,2,5,3,2,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,6,4,0,0,3,0,0,0,1,0,1,0,3,2,1,2,1
256,0,1,0,0,0,4,2,6,31,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,1,1,5,3,0,0,0,0,0,0,2,2,1,1,0,3,3,3,2,2
257,0,0,1,3,4,0,5,7,64,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,1,0,0,2,3,4,2,0,3,0,0,0,0,3,2,0,0,1,2,2,2,3,3,1
258,0,1,0,0,4,0,0,7,43,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,0,2,1,2,2,0,3,0,0,2,2,0,2,1,1,3,0,0,1,0,2,3
