,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack,spectral_clustering_n_clusters_2_eigen_solver_arpack,spectral_clustering_n_clusters_3_eigen_solver_arpack,spectral_clustering_n_clusters_4_eigen_solver_arpack,spectral_clustering_n_clusters_5_eigen_solver_arpack,spectral_clustering_n_clusters_6_eigen_solver_arpack,spectral_clustering_n_clusters_7_eigen_solver_arpack,spectral_clustering_n_clusters_8_eigen_solver_arpack,mean_shift_,optics_min_samples_7_xi_0_08_min_cluster_size_0_1,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37,random_model_n38,random_model_n39,random_model_n40,random_model_n41,random_model_n42,random_model_n43,random_model_n44,random_model_n45,random_model_n46,random_model_n47,random_model_n48,random_model_n49,random_model_n50,random_model_n51,random_model_n52,random_model_n53,random_model_n54
65,0,0,1,2,2,1,3,6,29,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,6,0,1,2,0,3,2,3,4,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0
66,0,1,2,1,0,4,4,1,25,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,2,0,1,0,3,1,5,5,6,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
67,0,0,1,2,0,4,0,7,5,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,1,2,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1
68,0,1,2,1,0,2,4,1,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,3,2,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1
69,0,1,2,0,1,5,5,4,20,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,1,2,4,4,2,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1
70,0,0,0,3,4,3,6,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,4,0,1,1,1,0,0,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0
71,0,1,2,0,3,5,5,4,30,0,0,0,0,0,0,0,0,0,1,1,1,4,1,0,0,0,0,0,2,4,3,2,7,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1
72,0,1,0,0,1,5,5,2,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,1,2,4,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1
73,0,0,1,2,0,4,0,7,5,1,1,1,1,0,0,0,0,0,0,2,3,0,4,4,3,0,1,2,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0
74,0,0,1,3,4,3,6,0,9,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,1,2,1,3,2,3,2,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1
75,0,1,0,0,1,0,2,2,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,5,0,0,1,2,4,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1
76,0,1,2,1,0,2,4,1,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,3,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1
77,0,1,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,1,2,4,4,4,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
78,0,0,2,1,0,4,4,7,1,1,1,1,1,0,0,0,0,0,1,1,2,0,4,6,3,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0
79,0,1,2,1,3,2,1,1,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,0,0,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1
80,0,1,2,0,3,5,1,4,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,0,0,0,0,3,2,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0
81,0,0,1,2,0,4,0,3,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,2,0,1,5,6,3,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
82,0,0,1,2,2,4,0,7,-1,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,1,2,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1
83,0,0,1,2,2,4,0,3,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,1,2,0,1,5,6,3,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1
84,0,1,0,0,1,5,5,2,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,1,2,4,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0
85,0,1,2,0,3,5,5,4,2,1,1,1,1,0,0,0,0,0,1,1,1,4,4,0,0,0,0,0,2,4,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0
86,0,0,1,3,4,3,6,0,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,1,2,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0
87,0,0,0,3,4,3,6,0,6,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,1,1,1,0,0,0,2,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0
88,0,1,0,0,1,0,5,2,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,0,1,2,4,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0
89,0,1,2,1,3,5,1,4,31,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,0,0,3,2,3,2,7,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1
90,0,0,1,2,2,4,0,3,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,1,2,0,1,5,6,3,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1
91,0,0,0,3,4,3,6,0,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1
92,0,0,0,3,4,0,2,5,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
93,0,0,1,2,2,1,3,6,32,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,6,0,1,2,0,3,2,3,4,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1
94,0,0,1,3,2,3,3,0,33,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,4,0,1,2,1,3,2,3,2,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0
95,0,1,0,3,1,0,2,5,8,1,1,1,1,0,0,0,0,0,0,0,1,1,0,5,5,0,0,1,2,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0
96,0,1,2,0,3,5,1,4,-1,-1,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,0,0,3,2,3,2,7,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0
97,0,0,1,2,2,1,3,0,-1,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,6,0,1,2,0,3,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1
98,0,1,2,0,3,5,1,4,30,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,3,2,3,2,7,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0
99,0,0,1,2,2,1,3,6,11,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,1,2,0,3,2,3,4,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0
100,0,1,0,0,1,0,2,2,-1,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,1,2,4,4,4,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0
101,0,1,0,0,1,5,5,2,-1,1,1,1,1,0,0,0,0,0,1,0,1,4,1,0,0,0,0,1,2,4,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0
102,0,1,2,0,3,5,5,4,20,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,2,4,4,2,7,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
103,0,0,1,2,2,4,0,7,5,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,1,2,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0
104,0,1,2,1,0,4,4,3,-1,0,0,0,0,0,0,0,0,0,1,1,2,0,3,6,2,0,1,0,3,1,5,5,6,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0
105,0,0,0,3,4,3,6,0,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,1,2,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1
106,0,1,0,0,1,0,2,2,34,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,0,1,2,4,4,4,5,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
107,0,0,1,2,0,4,0,3,-1,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,2,0,1,5,6,3,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1
108,0,1,2,1,3,2,1,4,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,0,0,3,2,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0
109,0,0,0,3,4,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,1,1,1,0,0,0,2,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0
110,0,1,2,1,0,2,4,1,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,3,2,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1
111,0,1,2,1,0,4,4,3,35,0,0,0,0,0,0,0,0,0,1,1,2,0,3,6,2,0,1,0,3,1,5,5,6,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0
112,0,0,0,3,4,3,2,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,0,1,1,1,0,0,0,5,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1
113,0,1,2,1,0,4,4,1,25,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,2,0,1,0,3,1,5,5,6,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1
114,0,0,1,2,2,1,3,7,3,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,1,2,0,3,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1
115,0,0,1,2,2,1,3,0,-1,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,1,2,1,3,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1
116,0,0,0,3,4,0,2,5,-1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0
117,0,1,2,1,3,2,1,1,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,0,0,3,2,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1
118,0,0,1,2,2,1,3,6,36,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,1,2,0,3,2,3,4,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0
119,0,0,1,2,2,1,3,6,17,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,6,0,1,2,0,3,2,3,4,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1
120,0,0,1,2,2,1,3,0,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,1,2,1,3,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1
121,0,1,2,1,3,2,1,4,18,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,0,0,3,2,3,2,7,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1
122,0,0,0,3,4,3,2,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,0,1,1,1,0,0,0,5,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0
123,0,1,0,0,1,0,2,2,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,5,0,0,1,2,4,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0
124,0,0,0,3,4,3,6,0,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,1,2,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1
125,0,0,1,2,0,4,0,3,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,2,0,1,5,6,3,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0
126,0,1,2,0,3,5,1,4,30,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,3,2,3,2,7,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0
127,0,0,0,3,4,3,6,0,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0
128,0,0,0,3,4,0,2,5,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0
129,0,0,0,3,4,3,6,0,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,1,2,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0
130,0,0,1,2,0,4,0,7,5,1,1,1,1,0,0,0,0,0,0,2,3,0,4,4,3,0,1,2,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0
131,0,0,1,2,0,4,0,3,37,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,2,0,1,5,6,3,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1
132,0,1,2,1,3,2,1,4,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,0,0,3,2,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0
133,0,1,2,0,3,5,1,4,30,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,3,2,3,2,7,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1
134,0,1,2,1,3,2,1,4,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,0,0,3,2,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0
135,0,0,1,2,0,4,0,7,5,1,1,1,1,0,0,0,0,0,0,1,3,0,4,4,3,0,1,2,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0
